"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Alachua,"37,111","37,543","38,903",19,1.2,3.6,23
Baker,"26,015","26,190","27,097",55,0.7,3.5,30
Bay,"37,249","37,155","38,487",21,-0.3,3.6,26
Bradford,"26,096","26,648","27,386",54,2.1,2.8,52
Brevard,"37,794","37,924","38,872",20,0.3,2.5,57
Broward,"41,886","41,657","43,283",12,-0.5,3.9,17
Calhoun,"22,415","22,385","23,321",63,-0.1,4.2,12
Charlotte,"34,073","35,154","36,350",29,3.2,3.4,35
Citrus,"32,107","33,198","34,194",33,3.4,3.0,47
Clay,"35,720","36,122","37,302",26,1.1,3.3,41
Collier,"72,488","72,247","73,869",1,-0.3,2.2,60
Columbia,"28,868","29,190","30,494",43,1.1,4.5,9
DeSoto,"20,798","20,943","21,696",65,0.7,3.6,25
Dixie,"22,932","23,582","24,836",59,2.8,5.3,7
Duval,"40,404","39,977","41,316",17,-1.1,3.3,37
Escambia,"35,927","35,698","36,632",28,-0.6,2.6,55
Flagler,"34,700","35,511","36,748",27,2.3,3.5,29
Franklin,"30,856","31,869","32,430",38,3.3,1.8,63
Gadsden,"27,809","27,915","28,979",45,0.4,3.8,20
Gilchrist,"29,353","29,748","31,808",40,1.3,6.9,3
Glades,"21,448","21,288","21,210",66,-0.7,-0.4,66
Gulf,"27,102","26,690","27,599",53,-1.5,3.4,34
Hamilton,"22,005","22,904","24,160",62,4.1,5.5,6
Hardee,"23,971","23,591","24,176",61,-1.6,2.5,58
Hendry,"27,471","29,001","27,941",52,5.6,-3.7,67
Hernando,"31,202","31,213","32,324",39,0.0,3.6,27
Highlands,"29,616","29,808","30,650",41,0.6,2.8,50
Hillsborough,"40,878","40,568","41,902",14,-0.8,3.3,40
Holmes,"25,539","25,720","26,427",57,0.7,2.7,53
Indian River,"60,584","61,261","63,140",5,1.1,3.1,45
Jackson,"27,696","27,681","28,459",48,-0.1,2.8,51
Jefferson,"33,088","33,407","35,446",32,1.0,6.1,5
Lafayette,"20,461","20,697","22,286",64,1.2,7.7,2
Lake,"33,946","34,637","35,786",31,2.0,3.3,38
Lee,"40,248","41,003","42,243",13,1.9,3.0,46
Leon,"36,421","36,777","38,305",22,1.0,4.2,14
Levy,"28,682","29,276","30,514",42,2.1,4.2,11
Liberty,"23,446","24,407","24,822",60,4.1,1.7,64
Madison,"25,780","26,445","28,176",49,2.6,6.5,4
Manatee,"39,183","39,820","40,895",18,1.6,2.7,54
Marion,"31,692","31,551","32,571",37,-0.4,3.2,44
Martin,"66,896","63,450","65,551",4,-5.2,3.3,39
Miami-Dade,"40,514","40,204","41,883",15,-0.8,4.2,13
Monroe,"70,204","66,945","69,593",2,-4.6,4.0,15
Nassau,"44,721","45,554","47,127",8,1.9,3.5,31
Okaloosa,"43,512","43,596","44,695",11,0.2,2.5,56
Okeechobee,"26,057","26,512","28,554",46,1.7,7.7,1
Orange,"36,569","36,685","38,007",23,0.3,3.6,24
Osceola,"26,770","27,046","28,088",50,1.0,3.9,19
Palm Beach,"64,782","64,799","66,914",3,0.0,3.3,42
Pasco,"32,361","32,830","33,953",35,1.4,3.4,33
Pinellas,"44,108","44,362","45,925",9,0.6,3.5,28
Polk,"31,654","31,737","32,652",36,0.3,2.9,49
Putnam,"25,922","26,065","27,031",56,0.6,3.7,21
St. Johns,"57,098","57,167","58,379",6,0.1,2.1,61
St. Lucie,"32,330","32,832","34,129",34,1.6,4.0,16
Santa Rosa,"36,874","36,764","37,610",24,-0.3,2.3,59
Sarasota,"50,976","52,445","54,147",7,2.9,3.2,43
Seminole,"40,357","40,253","41,806",16,-0.3,3.9,18
Sumter,"35,300","36,481","37,558",25,3.3,3.0,48
Suwannee,"26,858","27,262","28,536",47,1.5,4.7,8
Taylor,"26,629","27,026","27,944",51,1.5,3.4,36
Union,"17,249","17,705","17,811",67,2.6,0.6,65
Volusia,"34,486","34,765","36,052",30,0.8,3.7,22
Wakulla,"28,395","28,583","29,568",44,0.7,3.4,32
Walton,"45,178","44,870","45,764",10,-0.7,2.0,62
Washington,"24,218","24,644","25,727",58,1.8,4.4,10
,,,,,,,
Georgia,"37,254","37,596","38,980",--,0.9,3.7,--
Appling,"28,309","29,170","29,115",105,3.0,-0.2,139
Atkinson,"24,432","25,760","26,384",133,5.4,2.4,108
Bacon,"26,637","28,245","29,225",101,6.0,3.5,83
Baker,"38,607","37,037","29,192",103,-4.1,-21.2,159
Baldwin,"26,763","27,489","28,857",109,2.7,5.0,16
Banks,"30,052","31,319","32,904",44,4.2,5.1,15
Barrow,"29,248","29,962","31,181",73,2.4,4.1,52
Bartow,"31,694","32,098","33,483",37,1.3,4.3,37
Ben Hill,"25,877","26,628","27,647",125,2.9,3.8,64
Berrien,"28,007","27,921","27,855",121,-0.3,-0.2,141
Bibb,"35,211","35,842","37,199",22,1.8,3.8,69
Bleckley,"31,284","31,474","31,785",64,0.6,1.0,132
Brantley,"21,929","22,606","23,153",153,3.1,2.4,109
Brooks,"30,782","31,772","31,408",72,3.2,-1.1,144
Bryan,"44,644","44,824","45,657",6,0.4,1.9,120
Bulloch,"26,471","27,873","28,062",117,5.3,0.7,135
Burke,"29,872","30,139","30,433",83,0.9,1.0,133
Butts,"26,743","27,856","29,046",106,4.2,4.3,40
Calhoun,"26,703","25,217","25,182",145,-5.6,-0.1,138
Camden,"30,510","30,725","31,725",65,0.7,3.3,93
Candler,"26,196","26,746","27,750",123,2.1,3.8,73
Carroll,"31,233","31,565","32,508",51,1.1,3.0,99
Catoosa,"29,973","30,250","31,531",69,0.9,4.2,43
Charlton,"21,584","22,459","23,746",151,4.1,5.7,8
Chatham,"39,705","40,110","40,872",13,1.0,1.9,119
Chattahoochee,"29,253","30,621","32,020",58,4.7,4.6,23
Chattooga,"25,127","26,437","27,704",124,5.2,4.8,17
Cherokee,"39,163","39,741","41,322",12,1.5,4.0,56
Clarke,"27,205","27,526","28,803",110,1.2,4.6,21
Clay,"28,177","29,480","27,998",120,4.6,-5.0,156
Clayton,"24,915","25,215","26,232",135,1.2,4.0,55
Clinch,"25,934","26,796","27,798",122,3.3,3.7,74
Cobb,"47,734","47,659","49,513",4,-0.2,3.9,59
Coffee,"25,902","27,374","28,016",118,5.7,2.3,111
Colquitt,"28,678","28,577","28,971",107,-0.4,1.4,126
Columbia,"41,665","41,716","42,916",10,0.1,2.9,103
Cook,"25,623","26,407","25,986",138,3.1,-1.6,147
Coweta,"36,842","37,739","39,169",16,2.4,3.8,68
Crawford,"30,096","31,191","32,550",49,3.6,4.4,35
Crisp,"25,363","25,413","26,351",134,0.2,3.7,76
Dade,"27,392","27,372","28,643",112,-0.1,4.6,20
