"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Cass,"40,911","40,554","42,300",47,-0.9,4.3,14
Chippewa,"50,799","52,445","50,215",12,3.2,-4.3,75
Chisago,"37,860","38,403","39,844",64,1.4,3.8,31
Clay,"37,193","38,301","38,566",70,3.0,0.7,57
Clearwater,"33,267","35,382","36,469",77,6.4,3.1,40
Cook,"41,198","40,943","42,326",46,-0.6,3.4,37
Cottonwood,"45,831","48,307","46,907",22,5.4,-2.9,70
Crow Wing,"34,748","35,968","37,819",72,3.5,5.1,6
Dakota,"50,190","50,116","52,177",7,-0.1,4.1,19
Dodge,"42,385","41,855","43,761",39,-1.3,4.6,9
Douglas,"41,242","41,366","43,123",42,0.3,4.2,16
Faribault,"48,120","47,024","45,769",28,-2.3,-2.7,69
Fillmore,"39,416","39,090","40,607",59,-0.8,3.9,25
Freeborn,"39,456","39,915","40,374",61,1.2,1.1,56
Goodhue,"43,673","43,437","45,146",34,-0.5,3.9,22
Grant,"51,622","48,510","44,094",36,-6.0,-9.1,82
Hennepin,"62,571","61,539","63,901",1,-1.6,3.8,26
Houston,"43,258","43,223","44,791",35,-0.1,3.6,34
Hubbard,"32,966","34,872","36,296",80,5.8,4.1,21
Isanti,"36,809","37,420","38,656",69,1.7,3.3,38
Itasca,"33,999","34,771","36,324",78,2.3,4.5,11
Jackson,"50,080","51,246","49,281",13,2.3,-3.8,72
Kanabec,"33,089","33,767","35,249",82,2.0,4.4,12
Kandiyohi,"44,584","44,118","45,309",31,-1.0,2.7,44
Kittson,"55,818","61,549","52,265",6,10.3,-15.1,87
Koochiching,"35,220","35,497","35,953",81,0.8,1.3,53
Lac qui Parle,"54,438","60,486","54,181",3,11.1,-10.4,83
Lake,"39,683","40,155","41,842",50,1.2,4.2,17
Lake of the Woods,"39,181","41,303","43,866",38,5.4,6.2,3
Le Sueur,"41,288","42,253","43,524",40,2.3,3.0,42
Lincoln,"45,934","48,693","47,570",18,6.0,-2.3,67
Lyon,"42,488","43,840","43,933",37,3.2,0.2,61
McLeod,"39,695","39,592","40,268",62,-0.3,1.7,50
Mahnomen,"33,049","34,067","31,893",86,3.1,-6.4,78
Marshall,"51,134","51,109","47,216",20,0.0,-7.6,80
Martin,"45,688","45,873","45,193",33,0.4,-1.5,65
Meeker,"39,095","38,781","39,813",66,-0.8,2.7,46
Mille Lacs,"32,514","32,965","34,128",84,1.4,3.5,36
Morrison,"35,439","34,653","37,404",74,-2.2,7.9,2
Mower,"39,724","40,382","40,537",60,1.7,0.4,58
Murray,"50,727","55,532","51,379",8,9.5,-7.5,79
Nicollet,"40,760","42,029","42,550",44,3.1,1.2,54
Nobles,"39,718","40,285","40,763",57,1.4,1.2,55
Norman,"48,188","51,122","45,252",32,6.1,-11.5,85
Olmsted,"47,055","46,986","48,479",16,-0.1,3.2,39
Otter Tail,"38,946","39,740","40,871",56,2.0,2.8,43
Pennington,"46,906","48,234","48,923",14,2.8,1.4,52
Pine,"29,636","30,253","31,543",87,2.1,4.3,15
Pipestone,"46,385","49,876","50,618",9,7.5,1.5,51
Polk,"42,489","44,819","42,108",48,5.5,-6.0,77
Pope,"45,516","46,180","46,336",24,1.5,0.3,60
Ramsey,"45,254","45,296","47,019",21,0.1,3.8,27
Red Lake,"42,333","44,042","45,669",30,4.0,3.7,33
Redwood,"46,765","48,713","46,675",23,4.2,-4.2,74
Renville,"49,808","52,609","50,247",11,5.6,-4.5,76
Rice,"35,506","35,989","37,320",75,1.4,3.7,32
Rock,"46,574","48,498","47,218",19,4.1,-2.6,68
Roseau,"43,753","45,989","45,713",29,5.1,-0.6,63
St. Louis,"39,201","39,888","41,523",54,1.8,4.1,20
Scott,"47,149","47,002","48,781",15,-0.3,3.8,29
Sherburne,"37,464","38,003","39,433",67,1.4,3.8,30
Sibley,"41,306","41,317","39,814",65,0.0,-3.6,71
Stearns,"38,000","38,484","40,227",63,1.3,4.5,10
Steele,"41,090","41,473","42,332",45,0.9,2.1,48
Stevens,"53,993","50,452","50,350",10,-6.6,-0.2,62
Swift,"44,160","43,270","42,839",43,-2.0,-1.0,64
Todd,"34,485","35,846","38,037",71,3.9,6.1,4
Traverse,"68,135","63,011","53,758",5,-7.5,-14.7,86
Wabasha,"40,057","40,121","42,023",49,0.2,4.7,8
Wadena,"31,163","31,840","32,798",85,2.2,3.0,41
Waseca,"40,131","38,974","39,118",68,-2.9,0.4,59
Washington,"51,017","51,819","53,833",4,1.6,3.9,24
Watonwan,"38,526","39,065","37,521",73,1.4,-4.0,73
Wilkin,"52,915","51,410","45,998",25,-2.8,-10.5,84
Winona,"40,917","39,350","41,676",53,-3.8,5.9,5
Wright,"39,312","40,157","41,677",52,2.1,3.8,28
Yellow Medicine,"46,486","49,593","45,813",26,6.7,-7.6,81
,,,,,,,
Mississippi,"33,127","33,629","34,431",--,1.5,2.4,--
Adams,"33,454","34,322","34,908",15,2.6,1.7,55
Alcorn,"28,077","28,544","29,182",62,1.7,2.2,44
Amite,"29,353","30,988","32,765",29,5.6,5.7,7
Attala,"28,207","28,789","29,516",59,2.1,2.5,38
Benton,"24,649","25,397","26,032",80,3.0,2.5,39
Bolivar,"32,365","33,696","33,377",23,4.1,-0.9,66
Calhoun,"27,597","28,441","28,526",70,3.1,0.3,62
Carroll,"30,035","31,141","30,262",47,3.7,-2.8,71
Chickasaw,"29,903","30,398","31,621",37,1.7,4.0,15
Choctaw,"26,087","27,074","28,882",66,3.8,6.7,4
Claiborne,"28,869","29,635","29,086",64,2.7,-1.9,69
Clarke,"33,250","35,628","36,172",9,7.2,1.5,57
Clay,"32,911","34,464","34,930",14,4.7,1.4,58
Coahoma,"29,091","31,466","30,037",51,8.2,-4.5,75
Copiah,"29,499","30,169","31,151",42,2.3,3.3,26
Covington,"29,140","31,032","33,275",24,6.5,7.2,3
DeSoto,"35,388","35,455","36,242",8,0.2,2.2,45
Forrest,"33,913","33,928","35,024",12,0.0,3.2,28
Franklin,"28,617","29,038","29,962",53,1.5,3.2,29
George,"29,320","29,783","30,372",46,1.6,2.0,50
Greene,"22,435","23,326","24,142",82,4.0,3.5,21
Grenada,"31,750","32,919","33,574",22,3.7,2.0,48
Hancock,"33,380","33,472","34,555",20,0.3,3.2,27
Harrison,"34,148","34,110","34,785",16,-0.1,2.0,49
Hinds,"37,662","37,101","38,344",4,-1.5,3.4,25
Holmes,"26,335","27,173","26,308",78,3.2,-3.2,72
Humphreys,"30,954","33,619","31,808",34,8.6,-5.4,76
Issaquena,"31,665","29,138","25,516",81,-8.0,-12.4,81
Itawamba,"30,109","29,973","30,734",44,-0.5,2.5,37
Jackson,"33,886","33,921","34,530",21,0.1,1.8,54
Jasper,"31,901","33,281","35,207",11,4.3,5.8,6
Jefferson,"28,930","31,253","30,198",49,8.0,-3.4,74
Jefferson Davis,"27,550","29,451","30,213",48,6.9,2.6,35
Jones,"34,366","34,836","36,832",5,1.4,5.7,8
Kemper,"26,123","28,836","28,753",67,10.4,-0.3,63
Lafayette,"34,514","33,869","34,703",18,-1.9,2.5,40
Lamar,"30,566","30,462","31,192",41,-0.3,2.4,41
Lauderdale,"33,563","34,225","34,566",19,2.0,1.0,61
Lawrence,"30,135","32,085","32,780",28,6.5,2.2,46
Leake,"24,016","25,968","28,705",68,8.1,10.5,1
Lee,"34,132","34,384","35,429",10,0.7,3.0,31
Leflore,"32,378","32,106","31,917",33,-0.8,-0.6,65
Lincoln,"33,113","33,807","34,964",13,2.1,3.4,23
Lowndes,"36,979","37,024","36,669",6,0.1,-1.0,67
Madison,"56,322","57,067","58,604",1,1.3,2.7,33
Marion,"28,948","31,148","32,338",31,7.6,3.8,18
Marshall,"26,704","27,503","28,009",71,3.0,1.8,53
Monroe,"29,761","30,205","31,132",43,1.5,3.1,30
Montgomery,"30,353","30,856","31,665",35,1.7,2.6,34
Neshoba,"35,419","37,004","38,565",3,4.5,4.2,14
Newton,"29,607","30,664","32,252",32,3.6,5.2,11
Noxubee,"29,596","34,201","31,395",40,15.6,-8.2,80
Oktibbeha,"28,756","29,079","29,636",56,1.1,1.9,52
Panola,"28,812","29,750","29,585",57,3.3,-0.6,64
Pearl River,"31,994","32,052","32,943",25,0.2,2.8,32
Perry,"25,482","26,128","26,655",77,2.5,2.0,47
Pike,"27,700","28,489","29,761",55,2.8,4.5,13
Pontotoc,"28,509","28,262","29,212",61,-0.9,3.4,24
Prentiss,"26,380","26,259","27,218",75,-0.5,3.7,20
Quitman,"27,585","29,684","27,921",72,7.6,-5.9,78
Rankin,"38,352","38,665","39,994",2,0.8,3.4,22
Scott,"25,793","27,270","29,556",58,5.7,8.4,2
Sharkey,"32,716","35,490","30,511",45,8.5,-14.0,82
Simpson,"30,672","32,842","34,710",17,7.1,5.7,9
Smith,"27,201","31,144","32,824",27,14.5,5.4,10
Stone,"27,728","28,238","28,893",65,1.8,2.3,43
Sunflower,"27,270","27,300","26,863",76,0.1,-1.6,68
Tallahatchie,"27,125","30,952","29,269",60,14.1,-5.4,77
Tate,"30,489","31,197","31,570",38,2.3,1.2,60
Tippah,"27,877","28,099","29,137",63,0.8,3.7,19
Tishomingo,"26,293","26,618","27,655",73,1.2,3.9,16
Tunica,"31,331","34,333","31,570",38,9.6,-8.0,79
Union,"28,844","29,526","30,096",50,2.4,1.9,51
Walthall,"25,500","27,609","28,678",69,8.3,3.9,17
Warren,"36,082","35,705","36,623",7,-1.0,2.6,36
Washington,"31,957","32,082","32,475",30,0.4,1.2,59
Wayne,"29,604","30,830","32,880",26,4.1,6.6,5
Webster,"29,154","30,997","29,984",52,6.3,-3.3,73
Wilkinson,"25,875","25,703","26,304",79,-0.7,2.3,42
Winston,"29,025","30,228","31,639",36,4.1,4.7,12
Yalobusha,"29,109","29,403","29,883",54,1.0,1.6,56
Yazoo,"27,908","28,292","27,588",74,1.4,-2.5,70
,,,,,,,
Missouri,"39,905","40,297","41,639",--,1.0,3.3,--
Adair,"28,710","29,812","30,941",88,3.8,3.8,54
Andrew,"38,116","39,828","40,882",18,4.5,2.6,82
Atchison,"43,602","50,018","49,887",3,14.7,-0.3,107
Audrain,"33,112","35,835","37,335",39,8.2,4.2,43
Barry,"29,615","31,502","33,329",73,6.4,5.8,24
Barton,"33,399","35,429","35,797",52,6.1,1.0,102
Bates,"33,524","35,059","35,711",53,4.6,1.9,95
Benton,"30,523","31,349","32,563",78,2.7,3.9,50
Bollinger,"29,332","29,269","29,957",96,-0.2,2.4,91
Boone,"39,868","40,672","41,418",17,2.0,1.8,96
Buchanan,"34,644","35,058","36,144",51,1.2,3.1,68
Butler,"33,646","33,281","34,376",68,-1.1,3.3,64
Caldwell,"31,831","33,145","36,193",49,4.1,9.2,10
Callaway,"32,760","34,014","34,810",61,3.8,2.3,92
Camden,"33,155","33,885","35,197",55,2.2,3.9,51
Cape Girardeau,"38,618","38,592","39,547",22,-0.1,2.5,86
Carroll,"41,641","45,718","47,977",5,9.8,4.9,34
Carter,"28,976","28,352","28,068",102,-2.2,-1.0,109
Cass,"37,387","38,395","39,757",21,2.7,3.5,59
Cedar,"29,023","29,796","30,681",89,2.7,3.0,73
Chariton,"41,322","45,467","50,221",2,10.0,10.5,8
Christian,"33,219","33,849","34,839",60,1.9,2.9,77
Clark,"32,848","35,252","36,612",44,7.3,3.9,52
Clay,"41,049","41,687","42,898",13,1.6,2.9,78
Clinton,"33,890","36,742","37,828",35,8.4,3.0,76
Cole,"40,968","40,725","41,790",15,-0.6,2.6,83
Cooper,"32,262","33,478","34,416",67,3.8,2.8,80
Crawford,"32,351","33,541","34,536",64,3.7,3.0,74
Dade,"29,370","29,721","32,908",75,1.2,10.7,7
Dallas,"28,131","28,579","30,583",90,1.6,7.0,16
Daviess,"31,541","34,725","37,867",34,10.1,9.0,11
DeKalb,"23,051","24,229","25,089",114,5.1,3.5,58
Dent,"29,378","29,461","30,511",91,0.3,3.6,57
Douglas,"25,608","25,796","27,316",104,0.7,5.9,23
Dunklin,"30,988","31,926","31,895",82,3.0,-0.1,106
Franklin,"35,989","36,907","38,330",29,2.6,3.9,53
Gasconade,"33,589","35,073","36,472",47,4.4,4.0,47
Gentry,"35,683","40,057","44,134",12,12.3,10.2,9
Greene,"37,055","36,865","38,112",31,-0.5,3.4,62
Grundy,"30,970","32,541","34,476",65,5.1,5.9,22
Harrison,"32,564","35,639","37,205",41,9.4,4.4,39
Henry,"34,770","36,983","39,035",24,6.4,5.5,28
Hickory,"23,795","24,538","25,654",113,3.1,4.5,38
Holt,"38,596","47,902","45,956",7,24.1,-4.1,114
Howard,"32,493","35,508","36,538",46,9.3,2.9,79
Howell,"29,056","29,595","31,029",86,1.9,4.8,35
Iron,"28,467","28,919","30,159",95,1.6,4.3,41
Jackson,"40,407","40,448","41,653",16,0.1,3.0,72
Jasper,"34,412","33,770","34,306",69,-1.9,1.6,99
Jefferson,"35,038","35,766","36,947",42,2.1,3.3,63
Johnson,"31,113","31,584","32,871",76,1.5,4.1,45
Knox,"37,009","39,221","46,115",6,6.0,17.6,4
Laclede,"29,277","29,446","31,039",85,0.6,5.4,29
Lafayette,"33,957","36,196","36,579",45,6.6,1.1,101
Lawrence,"27,618","28,683","30,297",94,3.9,5.6,26
Lewis,"30,348","32,953","33,812",71,8.6,2.6,84
Lincoln,"32,091","32,738","33,741",72,2.0,3.1,70
Linn,"34,223","35,066","37,346",38,2.5,6.5,18
Livingston,"31,771","33,912","35,287",54,6.7,4.1,46
McDonald,"23,500","24,811","26,733",107,5.6,7.7,12
Macon,"31,622","33,963","35,121",57,7.4,3.4,61
Madison,"29,523","30,492","31,820",84,3.3,4.4,40
Maries,"33,178","35,994","37,469",37,8.5,4.1,44
Marion,"35,857","36,343","37,221",40,1.4,2.4,88
Mercer,"29,457","31,665","37,949",33,7.5,19.8,3
Miller,"27,569","28,296","29,925",97,2.6,5.8,25
Mississippi,"30,067","32,860","30,952",87,9.3,-5.8,115
Moniteau,"31,002","31,470","32,705",77,1.5,3.9,48
Monroe,"34,969","40,674","42,530",14,16.3,4.6,37
Montgomery,"30,698","33,019","34,188",70,7.6,3.5,60
Morgan,"34,780","36,317","37,733",36,4.4,3.9,49
New Madrid,"31,886","32,692","32,364",80,2.5,-1.0,110
Newton,"32,932","33,168","34,589",63,0.7,4.3,42
Nodaway,"27,807","29,766","30,468",93,7.0,2.4,90
Oregon,"24,727","25,125","26,367",108,1.6,4.9,33
Osage,"34,305","36,284","38,468",27,5.8,6.0,21
Ozark,"24,723","25,683","25,864",111,3.9,0.7,103
Pemiscot,"33,223","33,820","33,177",74,1.8,-1.9,111
Perry,"33,106","34,308","35,183",56,3.6,2.6,85
Pettis,"32,169","33,186","34,870",59,3.2,5.1,31
Phelps,"30,922","31,293","32,258",81,1.2,3.1,69
Pike,"28,708","31,363","31,883",83,9.2,1.7,97
Platte,"46,893","47,771","49,232",4,1.9,3.1,71
Polk,"27,337","28,049","29,800",99,2.6,6.2,19
Pulaski,"40,084","40,174","38,794",25,0.2,-3.4,113
Putnam,"29,316","31,360","38,158",30,7.0,21.7,2
Ralls,"32,953","38,141","37,967",32,15.7,-0.5,108
Randolph,"34,631","35,872","36,447",48,3.6,1.6,98
Ray,"35,891","36,839","38,538",26,2.6,4.6,36
Reynolds,"26,443","26,415","27,068",105,-0.1,2.5,87
Ripley,"27,867","28,423","29,102",100,2.0,2.4,89
St. Charles,"43,455","44,259","45,662",8,1.9,3.2,66
St. Clair,"29,096","30,173","32,495",79,3.7,7.7,13
Ste. Genevieve,"34,278","34,353","36,148",50,0.2,5.2,30
St. Francois,"28,426","28,756","29,814",98,1.2,3.7,55
St. Louis,"59,799","58,401","60,540",1,-2.3,3.7,56
Saline,"36,706","40,051","40,813",19,9.1,1.9,94
Schuyler,"25,881","27,518","27,535",103,6.3,0.1,105
Scotland,"34,782","37,681","40,494",20,8.3,7.5,14
Scott,"37,067","37,434","38,446",28,1.0,2.7,81
Shannon,"22,850","23,581","23,890",115,3.2,1.3,100
Shelby,"35,376","38,563","44,852",10,9.0,16.3,6
Stoddard,"34,993","35,445","34,427",66,1.3,-2.9,112
Stone,"32,676","34,565","36,651",43,5.8,6.0,20
Sullivan,"34,055","36,803","44,977",9,8.1,22.2,1
Taney,"28,274","28,857","30,475",92,2.1,5.6,27
Texas,"24,735","24,982","26,230",110,1.0,5.0,32
Vernon,"32,168","32,713","35,037",58,1.7,7.1,15
Warren,"32,612","33,651","34,725",62,3.2,3.2,65
Washington,"25,402","25,794","26,315",109,1.5,2.0,93
Wayne,"25,829","26,611","26,737",106,3.0,0.5,104
Webster,"27,482","28,160","28,993",101,2.5,3.0,75
Worth,"33,571","37,696","44,171",11,12.3,17.2,5
Wright,"23,360","24,066","25,729",112,3.0,6.9,17
St. Louis City,"36,745","38,130","39,333",23,3.8,3.2,67
,,,,,,,
Montana,"39,102","38,884","39,903",--,-0.6,2.6,--
Beaverhead,"35,478","36,572","38,297",33,3.1,4.7,15
Big Horn,"27,455","26,996","27,586",56,-1.7,2.2,37
Blaine,"27,863","30,832","27,934",55,10.7,-9.4,51
Broadwater,"31,602","34,689","36,056",43,9.8,3.9,21
Carbon,"39,907","38,870","40,661",25,-2.6,4.6,16
Carter,"40,924","44,016","54,760",4,7.6,24.4,1
Cascade,"40,087","39,520","41,163",23,-1.4,4.2,19
Chouteau,"35,498","35,205","31,079",52,-0.8,-11.7,53
Custer,"37,731","38,740","40,126",27,2.7,3.6,25
Daniels,"56,474","41,629","31,356",51,-26.3,-24.7,56
Dawson,"40,268","38,856","41,207",22,-3.5,6.1,9
Deer Lodge,"33,033","33,324","34,257",46,0.9,2.8,32
Fallon,"49,000","49,487","48,636",7,1.0,-1.7,46
Fergus,"37,326","38,162","38,108",34,2.2,-0.1,43
Flathead,"38,509","38,268","38,982",28,-0.6,1.9,40
Gallatin,"41,423","41,137","42,350",17,-0.7,2.9,30
Garfield,"36,056","43,261","38,826",29,20.0,-10.3,52
Glacier,"32,132","31,816","31,818",49,-1.0,0.0,42
Golden Valley,"41,464","41,062","42,772",15,-1.0,4.2,18
Granite,"37,424","37,245","38,624",30,-0.5,3.7,24
Hill,"39,728","40,110","38,348",32,1.0,-4.4,47
Jefferson,"44,101","43,502","44,950",10,-1.4,3.3,27
Judith Basin,"41,591","45,809","50,518",6,10.1,10.3,5
Lake,"30,416","29,804","31,460",50,-2.0,5.6,12
Lewis and Clark,"40,716","40,518","41,665",19,-0.5,2.8,31
Liberty,"33,376","42,769","36,686",41,28.1,-14.2,54
Lincoln,"29,445","29,569","30,996",53,0.4,4.8,14
McCone,"40,211","49,043","45,210",8,22.0,-7.8,50
Madison,"40,599","42,689","44,357",12,5.1,3.9,22
Meagher,"37,407","37,597","41,809",18,0.5,11.2,3
Mineral,"31,566","31,874","33,213",47,1.0,4.2,17
Missoula,"38,013","37,177","38,422",31,-2.2,3.3,26
Musselshell,"34,769","34,912","37,459",35,0.4,7.3,8
Park,"38,989","39,408","40,614",26,1.1,3.1,29
Petroleum,"43,130","51,232","55,984",3,18.8,9.3,6
Phillips,"37,548","37,964","36,040",44,1.1,-5.1,48
Pondera,"39,513","41,003","41,110",24,3.8,0.3,41
Powder River,"31,243","36,431","37,166",37,16.6,2.0,39
Powell,"30,528","31,495","33,075",48,3.2,5.0,13
Prairie,"36,052","32,983","36,835",39,-8.5,11.7,2
Ravalli,"35,131","34,866","36,256",42,-0.8,4.0,20
Richland,"58,495","60,380","62,001",1,3.2,2.7,34
Roosevelt,"36,122","37,256","36,891",38,3.1,-1.0,44
Rosebud,"35,411","34,814","35,776",45,-1.7,2.8,33
Sanders,"28,068","28,490","29,094",54,1.5,2.1,38
Sheridan,"53,667","62,255","51,020",5,16.0,-18.0,55
Silver Bow,"44,798","43,840","44,883",11,-2.1,2.4,36
Stillwater,"41,092","40,721","43,033",14,-0.9,5.7,11
Sweet Grass,"38,010","40,116","41,608",21,5.5,3.7,23
Teton,"43,863","42,615","45,046",9,-2.8,5.7,10
Toole,"42,909","46,559","43,781",13,8.5,-6.0,49
Treasure,"49,392","55,089","59,499",2,11.5,8.0,7
Valley,"41,615","42,142","41,614",20,1.3,-1.3,45
Wheatland,"32,292","33,248","36,805",40,3.0,10.7,4
Wibaux,"36,430","36,435","37,401",36,0.0,2.7,35
Yellowstone,"42,662","41,429","42,735",16,-2.9,3.2,28
,,,,,,,
Nebraska,"45,578","46,254","47,557",--,1.5,2.8,--
Adams,"41,884","41,305","42,130",84,-1.4,2.0,52
Antelope,"64,645","64,995","66,330",13,0.5,2.1,51
Arthur,"29,183","35,856","61,653",16,22.9,71.9,2
Banner,"50,135","49,506","70,297",9,-1.3,42.0,6
Blaine,"38,480","48,763","69,036",10,26.7,41.6,8
Boone,"52,148","65,653","64,836",14,25.9,-1.2,65
Box Butte,"41,846","42,370","45,255",68,1.3,6.8,33
Boyd,"45,950","43,312","50,072",38,-5.7,15.6,20
Brown,"43,673","50,929","60,491",18,16.6,18.8,15
Buffalo,"50,643","44,994","46,657",55,-11.2,3.7,44
Burt,"44,201","55,730","48,088",47,26.1,-13.7,93
Butler,"42,126","47,333","45,707",64,12.4,-3.4,75
Cass,"42,543","46,222","45,950",62,8.6,-0.6,63
Cedar,"44,927","58,123","52,988",32,29.4,-8.8,87
Chase,"61,022","56,918","59,787",21,-6.7,5.0,41
Cherry,"44,427","46,957","60,729",17,5.7,29.3,13
Cheyenne,"52,152","54,883","58,358",22,5.2,6.3,35
Clay,"45,496","43,687","49,580",42,-4.0,13.5,22
Colfax,"37,268","44,796","44,341",70,20.2,-1.0,64
Cuming,"66,533","80,190","86,661",2,20.5,8.1,30
Custer,"44,458","49,822","53,952",29,12.1,8.3,28
Dakota,"33,418","35,698","35,071",93,6.8,-1.8,68
Dawes,"31,693","31,760","36,858",92,0.2,16.1,18
Dawson,"35,772","37,283","39,255",89,4.2,5.3,39
Deuel,"38,832","41,202","43,665",77,6.1,6.0,38
Dixon,"36,417","50,349","46,609",56,38.3,-7.4,85
Dodge,"38,983","40,710","40,537",86,4.4,-0.4,61
Douglas,"52,113","50,966","52,772",33,-2.2,3.5,45
Dundy,"63,610","61,848","72,014",7,-2.8,16.4,17
Fillmore,"59,306","62,572","56,868",25,5.5,-9.1,90
Franklin,"47,355","44,962","46,378",58,-5.1,3.1,47
Frontier,"48,903","54,196","54,039",28,10.8,-0.3,60
Furnas,"44,018","46,040","51,951",34,4.6,12.8,23
Gage,"44,551","49,186","47,942",49,10.4,-2.5,71
Garden,"41,617","45,000","56,994",24,8.1,26.7,14
Garfield,"42,379","45,346","50,518",37,7.0,11.4,25
Gosper,"49,535","50,895","53,506",30,2.7,5.1,40
Grant,"34,675","39,470","55,924",27,13.8,41.7,7
Greeley,"40,326","47,357","46,706",54,17.4,-1.4,66
Hall,"38,129","37,707","38,538",91,-1.1,2.2,50
Hamilton,"54,048","51,705","49,210",43,-4.3,-4.8,83
Harlan,"45,279","42,821","46,753",53,-5.4,9.2,26
Hayes,"61,949","54,262","78,580",5,-12.4,44.8,4
Hitchcock,"39,036","41,767","43,435",78,7.0,4.0,43
Holt,"49,806","49,812","49,971",39,0.0,0.3,58
Hooker,"38,100","37,251","50,581",36,-2.2,35.8,11
Howard,"40,470","44,291","44,769",69,9.4,1.1,56
Jefferson,"41,625","47,630","48,262",46,14.4,1.3,55
Johnson,"35,675","41,677","40,070",87,16.8,-3.9,79
Kearney,"63,213","61,345","60,273",20,-3.0,-1.7,67
Keith,"43,303","44,027","45,866",63,1.7,4.2,42
Keya Paha,"56,302","63,164","71,933",8,12.2,13.9,21
Kimball,"48,862","45,900","49,633",40,-6.1,8.1,29
Knox,"37,912","45,022","46,236",59,18.8,2.7,48
Lancaster,"42,133","42,233","43,287",79,0.2,2.5,49
Lincoln,"44,362","42,447","46,195",60,-4.3,8.8,27
Logan,"40,134","45,137","41,076",85,12.5,-9.0,89
Loup,"44,925","52,838","75,240",6,17.6,42.4,5
McPherson,"39,964","41,426","79,900",3,3.7,92.9,1
Madison,"41,950","43,294","44,089",75,3.2,1.8,53
Merrick,"42,145","45,849","44,181",72,8.8,-3.6,77
Morrill,"48,169","52,220","60,468",19,8.4,15.8,19
Nance,"41,573","50,544","48,799",44,21.6,-3.5,76
Nemaha,"44,162","48,618","44,172",73,10.1,-9.1,91
Nuckolls,"44,189","47,501","46,169",61,7.5,-2.8,73
Otoe,"43,963","44,381","43,138",81,1.0,-2.8,72
Pawnee,"38,136","50,865","49,630",41,33.4,-2.4,70
Perkins,"64,616","62,684","66,586",12,-3.0,6.2,37
Phelps,"50,252","54,132","57,873",23,7.7,6.9,32
Pierce,"44,274","50,010","46,891",52,13.0,-6.2,84
Platte,"42,498","45,190","45,651",65,6.3,1.0,57
Polk,"48,830","53,241","51,010",35,9.0,-4.2,81
Red Willow,"44,602","42,892","48,069",48,-3.8,12.1,24
Richardson,"38,807","45,479","44,109",74,17.2,-3.0,74
Rock,"57,475","56,858","79,579",4,-1.1,40.0,10
Saline,"37,274","41,189","39,332",88,10.5,-4.5,82
Sarpy,"41,241","41,789","43,170",80,1.3,3.3,46
Saunders,"40,976","44,104","44,188",71,7.6,0.2,59
Scotts Bluff,"41,130","41,088","43,777",76,-0.1,6.5,34
Seward,"43,309","44,679","45,377",66,3.2,1.6,54
Sheridan,"43,210","44,829","53,172",31,3.7,18.6,16
Sherman,"39,434","40,665","39,172",90,3.1,-3.7,78
Sioux,"46,572","52,770","68,725",11,13.3,30.2,12
Stanton,"37,058","46,861","42,692",82,26.5,-8.9,88
Thayer,"54,791","57,615","56,225",26,5.2,-2.4,69
Thomas,"42,398","45,328","63,815",15,6.9,40.8,9
Thurston,"40,831","53,106","47,409",51,30.1,-10.7,92
Valley,"40,617","42,036","45,317",67,3.5,7.8,31
Washington,"46,959","48,024","47,783",50,2.3,-0.5,62
Wayne,"37,457","45,574","42,142",83,21.7,-7.5,86
Webster,"39,298","43,803","46,530",57,11.5,6.2,36
Wheeler,"68,643","93,460","135,907",1,36.2,45.4,3
York,"50,315","50,326","48,343",45,0.0,-3.9,80
,,,,,,,
Nevada,"39,436","39,223","40,742",--,-0.5,3.9,--
Churchill,"41,458","42,230","44,440",5,1.9,5.2,5
Clark,"38,713","38,091","39,533",10,-1.6,3.8,13
Douglas,"54,152","54,943","57,113",1,1.5,3.9,12
Elko,"42,340","41,530","41,702",7,-1.9,0.4,17
Esmeralda,"44,621","43,273","49,841",3,-3.0,15.2,1
Eureka,"35,574","33,182","34,531",13,-6.7,4.1,11
Humboldt,"42,632","42,214","43,025",6,-1.0,1.9,16
Lander,"48,561","49,219","51,055",2,1.4,3.7,14
Lincoln,"25,214","24,290","26,440",17,-3.7,8.9,3
Lyon,"29,679","30,210","31,720",15,1.8,5.0,7
Mineral,"32,687","33,255","34,822",12,1.7,4.7,9
Nye,"31,461","32,481","34,332",14,3.2,5.7,4
Pershing,"26,529","27,191","30,655",16,2.5,12.7,2
Storey,"34,543","35,023","35,867",11,1.4,2.4,15
Washoe,"43,125","44,363","46,211",4,2.9,4.2,10
White Pine,"38,728","37,926","39,908",9,-2.1,5.2,6
Carson City,"38,180","39,128","41,046",8,2.5,4.9,8
,,,,,,,
New Hampshire,"50,546","50,535","52,773",--,0.0,4.4,--
Belknap,"48,374","48,800","50,929",3,0.9,4.4,6
Carroll,"46,612","47,289","48,861",6,1.5,3.3,10
Cheshire,"44,907","45,130","46,861",7,0.5,3.8,9
Coos,"37,291","38,164","39,651",10,2.3,3.9,8
Grafton,"48,682","48,723","50,895",4,0.1,4.5,3
Hillsborough,"53,524","52,969","55,378",2,-1.0,4.5,2
Merrimack,"46,336","46,853","49,061",5,1.1,4.7,1
